하사,47,150
가자,44,177
자나,99,192
라카,62,197
다카,89,191
자마,59,148
파자,84,185
나타,96,151
바마,43,179
다가,81,151
사바,98,181
아타,66,189
아카,61,154
가타,96,169
마바,53,143
다파,67,184
자카,86,160
하차,45,147
가다,79,163
사사,81,198
나가,96,183
자나,45,156
카바,81,160
가타,42,196
파바,48,199
자파,58,167
사아,89,172
자아,70,164
나라,98,144
사다,52,141
타가,53,187
바나,97,179
타바,59,156
라아,51,179
나바,89,158
다마,48,146
바차,71,163
가라,78,187
아자,54,165
마차,55,169
라라,48,172
마타,51,169
카사,62,167
마마,79,199
파가,96,158
바카,64,153
파타,45,169
파자,89,184
사자,41,164
타카,50,143
라차,47,147
다마,71,193
타하,58,160
아자,83,162
라차,44,190
하차,83,185
파라,55,180
마가,54,167
사가,66,162
나마,78,146
타나,59,181
가다,79,188
바하,69,157
파나,62,189
자카,77,192
라하,78,181
하바,46,163
바하,95,142
사다,64,145
차가,57,167
카가,88,193
아바,65,187
바다,89,156
타자,60,150
파아,86,154
다다,73,140
마바,86,180
파자,83,167
파다,46,144
하자,90,155
가라,83,146
파자,91,147
타타,69,194
파타,67,145
카타,70,166
하마,90,145
가차,80,169
하마,84,189
마나,50,150
카하,53,147
타카,52,196
하자,44,140
타마,79,155
타마,46,154
마파,88,185
자아,91,183
마사,73,140
파아,89,156
나자,56,173
라가,51,141
타아,84,183
파아,50,166
아가,99,160
라마,61,190
나다,59,143
바사,51,144
카라,70,148
아바,96,188
타카,83,168
하카,60,153
자타,83,194
다라,81,163
파나,93,156
파마,99,198
자아,53,158
파하,97,161
바나,81,158
사바,93,149
아아,50,185
하카,47,145
차차,50,142
라카,55,173
바자,55,156
사바,93,149
아마,50,195
바아,47,174
파가,70,195
마파,67,198
사타,92,144
나파,61,167
사나,40,142
라카,62,159
아하,43,175
자아,80,148
나라,85,175
가타,45,180
타파,98,172
카바,77,152
바나,99,183
카하,68,174
가다,42,154
아바,80,182
다바,41,198
바마,70,197
타마,57,148
나카,46,198
아하,43,188
하타,41,144
라다,62,141
하바,57,192
가나,75,189
아자,46,162
마자,91,165
타파,74,164
카마,96,142
라바,42,184
타파,74,142
가마,85,167
라사,65,159
카사,64,185
카자,46,179
하바,95,149
자카,40,192
차자,93,179
하아,72,187
다하,47,199
하카,94,183
타하,80,150
타자,85,183
라마,59,166
마아,52,162
카차,82,193
아라,77,145
자아,49,169
사마,79,141
다카,61,186
다자,58,180
아아,49,170
타마,84,154
차타,56,191
사자,68,148
라타,59,163
사타,86,188
파타,86,185
바바,54,185
파라,70,161
마파,72,181
바아,78,159
파파,49,157
나나,58,166
마하,45,199
마차,46,187
나타,96,178
나바,66,157
다마,95,198
사파,99,182
바하,40,183
라나,91,163
하바,88,186
마자,72,152
다타,74,163
바라,69,142
파타,42,161
나라,84,149
타나,91,170
마차,72,193
자하,69,193
가자,82,181
라마,81,189
차마,71,172
바마,98,159
다나,53,177
라라,67,150
라카,76,176
사타,49,142
마자,98,188
하자,72,170
마바,78,155
아다,53,187
라가,72,148
차사,41,174
다마,72,148
라파,63,179
타사,78,142
나마,46,160
차다,83,168
다라,76,164
아사,63,171
하다,85,144
바파,74,161
사자,42,166
타바,89,164
파자,96,154
차자,45,146
차파,61,174
사사,60,179
아파,72,150
타카,45,159
하마,58,149
가가,70,154
차사,52,174
차다,68,194
타자,97,193
카차,75,181
파아,52,147
라차,79,171
아타,50,142
가다,54,163
나바,57,190
카가,79,145
자자,80,146
가라,45,179
타자,70,175
타카,78,164
자타,79,169
가라,77,180
카파,55,194
마자,92,149
하사,77,194
가나,95,155
카가,95,177
나마,98,180
라가,79,189
라카,59,172
바타,89,197
나나,42,151
카하,56,153
파라,70,171
바나,99,172
타카,52,140
라바,49,145
가다,60,186
차아,70,144
차바,92,191
카자,63,175
카마,58,182
자가,55,146
사사,52,169
파다,58,147
자차,96,190
마파,73,178
사바,55,181
아가,68,163
가아,59,179
나자,80,183
라라,60,157
다차,87,162
다사,91,178
자마,74,140
파사,95,158
카라,46,168
나다,74,143
타라,52,156
파라,94,143
아나,96,175
차아,59,156
나나,58,184
사다,65,152
타파,66,178
자차,91,164
마사,52,145
가카,82,181
가가,74,176
카가,52,141
파마,51,142
차자,86,182
나나,41,152
라자,74,152
자마,54,161
하하,69,145
나사,87,177
타카,87,165
아다,58,168
타타,95,141
사다,50,175
바하,99,174
마마,62,178
파자,62,161
카자,46,198
나라,62,191
자카,49,179
타나,81,174
타타,96,155
나파,56,166
라나,89,148
바파,75,144
나라,64,172
마가,49,173
자마,47,152
차카,86,169
카다,96,150
파카,86,149
다마,83,140
자나,69,185
아나,54,157
파나,71,149
차바,62,152
아사,48,152
자아,40,175
마차,51,196
타타,92,145
사아,49,148
다나,66,177
바가,62,151
타사,87,174
가카,80,165
가가,99,141
하타,78,184
타자,53,142
차아,89,197
타라,68,183
바자,64,178
카다,87,184
타바,76,149
라사,46,176
아라,45,183
바가,65,168
바파,44,163
차파,71,151
타마,55,184
자사,41,183
가차,84,145
파다,55,183
자하,76,164
나나,87,197
아다,66,192
바라,51,168
바다,81,140
라사,94,155
나라,96,167
가나,97,148
차자,40,195
다바,74,179
바카,47,192
나나,52,149
아가,40,177
차아,43,153
파사,63,152
마마,45,175
파다,68,192
하하,45,187
다타,53,163
하카,45,192
